Estación,Fecha,hora,Temperatura promedio,Temperatura máxima,Temperatura mínima,Humedad relativa,Precipitación,Radiación solar,Velocidad del viento,Dirección de viento,Presión barométrica,Evapotranspiración
BLOCK 1101,9/13/2020,0:00:00,29.79,30.28,29.23,60.39,0,0.03,10.31,164.47,1007.09,0.23
BLOCK 1101,9/13/2020,1:00:00,28.96,29.29,28.5,62.38,0,0.02,9.51,157.6,1006.72,0.2
BLOCK 1101,9/13/2020,2:00:00,27.68,28.51,26.92,62.24,0,0.02,4.66,137.59,1006.56,0.1
BLOCK 1101,9/13/2020,3:00:00,26.52,26.93,26.3,66,0,0.01,3.36,89.77,1006.65,0.06
BLOCK 1101,9/13/2020,4:00:00,26.24,26.31,26.14,68.91,0,0.01,3.79,84.11,1006.9,0.06
BLOCK 1101,9/13/2020,5:00:00,25.93,26.16,25.8,70.28,0,0.04,4.01,97.91,1007.22,0.06
BLOCK 1101,9/13/2020,6:00:00,26.21,27.1,25.85,71.29,0,27.3,3.01,67.89,1007.59,0.05
BLOCK 1101,9/13/2020,7:00:00,28.4,29.76,27.1,66.5,0,176.45,5.92,98.61,1008.18,0.21
BLOCK 1101,9/13/2020,8:00:00,30.53,32.02,29.66,61.76,0,385.4,9.45,103.44,1008.61,0.4
BLOCK 1101,9/13/2020,9:00:00,32.55,33.21,31.53,61.16,0,545.35,6.32,134.63,1008.63,0.49
BLOCK 1101,9/13/2020,10:00:00,33.87,34.93,32.39,54.27,0,655.05,5.09,140.88,1008.47,0.59
BLOCK 1101,9/13/2020,11:00:00,34.56,36.58,33.88,50.65,0,576.25,3.08,38.44,1007.84,0.52
BLOCK 1101,9/13/2020,12:00:00,36.54,37.63,35.5,44.08,0,723.8,6.02,197.26,1007.02,0.73
BLOCK 1101,9/13/2020,13:00:00,36.21,37.37,35.27,47.9,0,573.98,16.13,216.27,1006.44,0.76
BLOCK 1101,9/13/2020,14:00:00,36.5,37.4,35.47,47.61,0,652.08,17.4,214.57,1005.7,0.81
BLOCK 1101,9/13/2020,15:00:00,35.92,37.13,35.06,49.32,0,498.17,22.6,221.8,1005.45,0.76
BLOCK 1101,9/13/2020,16:00:00,34.77,35.59,33.99,52.65,0,303.93,21.89,234.22,1005.49,0.62
BLOCK 1101,9/13/2020,17:00:00,33.46,34.22,32.88,56.6,0,123.32,18.86,241.14,1005.64,0.46
BLOCK 1101,9/13/2020,18:00:00,32.05,32.92,31.46,62.09,0,14.34,15.24,238.43,1006.06,0.31
BLOCK 1101,9/13/2020,19:00:00,30.95,31.48,30.38,68.77,0,0.03,10.32,217.13,1007,0.19
BLOCK 1101,9/13/2020,20:00:00,30.09,30.39,29.74,74.99,0,0.05,5.88,199.23,1008.06,0.13
BLOCK 1101,9/13/2020,21:00:00,29.71,29.83,29.55,76.21,0,0.05,3.23,165.44,1009,0.08
BLOCK 1101,9/13/2020,22:00:00,29.7,29.83,29.58,76.21,0,0.03,2.61,79.34,1009.98,0.07
BLOCK 1101,9/13/2020,23:00:00,29.73,29.92,29.58,76.97,0,0.03,3.34,122.85,1010.02,0.08
BLOCK 1101,9/14/2020,0:00:00,27.87,29.94,26.93,71.17,0,0.03,6.65,135.74,1009.5,0.11
BLOCK 1101,9/14/2020,1:00:00,26.58,26.93,26.22,69.84,0,0.01,1.6,36,1009,0.01
BLOCK 1101,9/14/2020,2:00:00,26.02,26.28,25.72,68.97,0,0.01,4.68,8.7,1008.94,0.08
BLOCK 1101,9/14/2020,3:00:00,25.6,26.36,24.68,71.1,0,0.02,0.63,231.68,1008.9,0
BLOCK 1101,9/14/2020,4:00:00,24.67,25,24.42,71.22,0,0.03,4.65,142.41,1009.24,0.06
BLOCK 1101,9/14/2020,5:00:00,24.43,24.72,24.24,73.09,0,0.08,1.38,59.76,1009.66,0
BLOCK 1101,9/14/2020,6:00:00,24.74,25.79,24.33,73.53,0,25.46,2.38,71.85,1010.16,0.03
BLOCK 1101,9/14/2020,7:00:00,27.63,29.19,25.82,66.14,0,180.75,2.62,79.73,1010.61,0.16
BLOCK 1101,9/14/2020,8:00:00,30.73,31.51,29.19,61.02,0,377.15,5.29,53.34,1010.86,0.36
BLOCK 1101,9/14/2020,9:00:00,32.24,33.3,31.22,60.86,0,551.97,6.53,41.28,1011.05,0.49
BLOCK 1101,9/14/2020,10:00:00,34.08,35.07,32.86,54.87,0,638.73,2.8,8,1011.01,0.54
BLOCK 1101,9/14/2020,11:00:00,35.91,37.1,34.1,47.94,0,702.38,2.52,322.13,1010.44,0.61
BLOCK 1101,9/14/2020,12:00:00,36.61,38.21,35.17,44.32,0,692.07,4.71,302.43,1009.5,0.68
BLOCK 1101,9/14/2020,13:00:00,37.72,38.99,36.4,39.51,0,710.78,5.45,313.72,1008.7,0.74
BLOCK 1101,9/14/2020,14:00:00,37.21,39.13,35.93,45.88,0,625.77,19.17,239.52,1007.89,0.86
BLOCK 1101,9/14/2020,15:00:00,35.95,36.86,35.38,49.35,0,464.28,23.73,239.55,1007.27,0.76
BLOCK 1101,9/14/2020,16:00:00,34.91,35.78,34.18,51.54,0,285.73,23.64,247.99,1007.26,0.64
BLOCK 1101,9/14/2020,17:00:00,33.61,34.43,32.84,57.35,0,116.64,23.68,256.76,1007.56,0.5
BLOCK 1101,9/14/2020,18:00:00,31.98,32.91,31.35,64.77,0,14.14,19.96,272.3,1008.09,0.33
BLOCK 1101,9/14/2020,19:00:00,31.03,31.37,30.6,69.38,0,0.03,14,282.74,1008.56,0.23
BLOCK 1101,9/14/2020,20:00:00,30.58,30.65,30.4,71.35,0,0.04,10.83,300.86,1009.24,0.21
BLOCK 1101,9/14/2020,21:00:00,29.97,30.43,29.61,74.21,0,0.06,7.06,297.89,1009.59,0.14
BLOCK 1101,9/14/2020,22:00:00,29.14,29.68,28.06,76.61,0,0.03,1.43,269.81,1009.69,0.05
BLOCK 1101,9/14/2020,23:00:00,27.89,28.1,27.66,79.59,0,0.02,5.59,178.09,1010.1,0.1
BLOCK 1101,9/15/2020,0:00:00,27.77,28.13,27.43,80.93,0,0.02,6.23,174.59,1010.32,0.06
BLOCK 1101,9/15/2020,1:00:00,27.65,27.92,27.47,83.07,0,0.01,2.93,159.25,1010.26,0.01
BLOCK 1101,9/15/2020,2:00:00,27.1,27.5,26.9,80.86,0,0.01,2.39,97.72,1009.99,0.01
BLOCK 1101,9/15/2020,3:00:00,26.72,27.03,26.5,82.28,0,0.01,2.94,65.45,1009.92,0.01
BLOCK 1101,9/15/2020,4:00:00,26.6,26.79,26.26,82.85,0,0.01,3.34,82.57,1009.97,0.02
BLOCK 1101,9/15/2020,5:00:00,26.44,26.64,26.19,83.87,0,0.06,3.45,104.38,1010.35,0.02
BLOCK 1101,9/15/2020,6:00:00,26.65,27.2,26.48,83.77,0,21.73,2.52,104.82,1010.71,0.02
BLOCK 1101,9/15/2020,7:00:00,28.57,30.29,27.21,80.28,0,146.12,4.11,105.03,1011.04,0.13
BLOCK 1101,9/15/2020,8:00:00,30.97,31.94,30.28,76.94,0,348.2,4.28,38.96,1010.98,0.28
BLOCK 1101,9/15/2020,9:00:00,32.84,34.63,31.61,66.96,0,524.22,5.26,1.96,1010.99,0.44
BLOCK 1101,9/15/2020,10:00:00,34.67,35.78,33.65,58,0,654.48,7.29,340.92,1010.66,0.6
BLOCK 1101,9/15/2020,11:00:00,36.17,37.09,34.95,48.34,0,745.98,8.16,340.53,1010.03,0.75
BLOCK 1101,9/15/2020,12:00:00,38.03,39.25,36.83,41.93,0,758.5,8.02,317.43,1009.2,0.82
BLOCK 1101,9/15/2020,13:00:00,38.9,40.01,37.73,37.87,0,716.37,7.4,319.92,1008.17,0.83
BLOCK 1101,9/15/2020,14:00:00,39.7,40.61,39.04,34,0,570.2,11.3,292.35,1007.04,0.88
BLOCK 1101,9/15/2020,15:00:00,39.27,40.16,38.53,34.6,0,460.12,21.83,288.97,1006.2,1
BLOCK 1101,9/15/2020,16:00:00,37.72,39.16,36.46,35.06,0,281.45,25.15,280.26,1005.86,0.93
BLOCK 1101,9/15/2020,17:00:00,35.46,36.62,34.54,42.05,0,123,24.32,277.05,1005.79,0.72
BLOCK 1101,9/15/2020,18:00:00,33.47,34.56,32.49,41.74,0,15.08,18.58,277.79,1005.81,0.56
BLOCK 1101,9/15/2020,19:00:00,31.95,32.53,31.44,46.28,0,0.01,15.15,282.72,1006.12,0.43
BLOCK 1101,9/15/2020,20:00:00,30.86,31.46,30.4,53.45,0,0.02,10.31,270.16,1006.73,0.33
BLOCK 1101,9/15/2020,21:00:00,30.01,30.41,29.56,58.1,0,0.04,5.95,244.1,1007.16,0.21
BLOCK 1101,9/15/2020,22:00:00,28.97,29.61,28.39,58.43,0,0.06,3.12,223.47,1007.25,0.13
BLOCK 1101,9/15/2020,23:00:00,28.05,28.45,27.67,62.24,0,0.03,3.72,167.25,1007.23,0.13
BLOCK 1101,9/16/2020,0:00:00,27.52,27.94,27.18,63.88,0,0.02,3.99,109.98,1007.47,0.08
BLOCK 1101,9/16/2020,1:00:00,27.21,27.56,27.07,67.04,0,0.01,4.21,102.78,1007.28,0.08
BLOCK 1101,9/16/2020,2:00:00,26.84,27.2,26.6,70.15,0,0.01,4.2,106.91,1006.86,0.07
BLOCK 1101,9/16/2020,3:00:00,26.4,26.78,26.08,73.29,0,0.01,4.74,108.46,1006.69,0.07
BLOCK 1101,9/16/2020,4:00:00,25.79,26.12,25.47,76.31,0,0.01,3.87,101.14,1006.6,0.04
BLOCK 1101,9/16/2020,5:00:00,25.4,25.56,25.25,79.47,0,0.07,2.62,94.13,1006.73,0.01
BLOCK 1101,9/16/2020,6:00:00,25.63,26.68,25.33,80.7,0,25.81,2.14,97.29,1007.03,0.02
BLOCK 1101,9/16/2020,7:00:00,28.7,30.32,26.68,70.78,0,190.72,3.77,98.28,1007.33,0.18
BLOCK 1101,9/16/2020,8:00:00,31.59,32.87,30.22,65.5,0,389.72,5.94,103.39,1007.78,0.36
BLOCK 1101,9/16/2020,9:00:00,34,35.01,32.67,56.3,0,567.03,6.15,115.51,1008.19,0.54
BLOCK 1101,9/16/2020,10:00:00,35.74,37.25,34.37,48.43,0,691.92,6.57,143.92,1008.12,0.68
BLOCK 1101,9/16/2020,11:00:00,37.59,38.69,36.56,42.22,0,765.63,6.67,175.79,1007.64,0.79
BLOCK 1101,9/16/2020,12:00:00,38.37,39,37.52,42.34,0,783.68,14.26,211.73,1006.92,0.94
BLOCK 1101,9/16/2020,13:00:00,37.86,38.9,36.89,45.37,0,740.23,17.67,197.75,1006.46,0.91
BLOCK 1101,9/16/2020,14:00:00,38.04,38.87,37.36,43.84,0,635.7,16.12,214.64,1005.8,0.87
BLOCK 1101,9/16/2020,15:00:00,38.17,38.87,37.58,39.36,0,485.22,16.46,212.3,1005.04,0.86
BLOCK 1101,9/16/2020,16:00:00,37.29,37.99,36.46,39.83,0,294.55,19.14,234.23,1004.83,0.79
BLOCK 1101,9/16/2020,17:00:00,35.58,36.79,34.58,44.31,0,120.78,11.76,198.99,1005.26,0.5
BLOCK 1101,9/16/2020,18:00:00,33.3,34.66,31.99,53.38,0,14.64,11.3,203.64,1005.28,0.34
BLOCK 1101,9/16/2020,19:00:00,31.21,31.99,30.67,63.67,0,0.01,8.66,198.51,1005.67,0.2
BLOCK 1101,9/16/2020,20:00:00,30.09,30.8,29.42,67.45,0,0.03,4.4,202.85,1006.6,0.14
BLOCK 1101,9/16/2020,21:00:00,29.18,29.48,28.9,71.18,0,0.05,1.97,162.42,1007.19,0.07
BLOCK 1101,9/16/2020,22:00:00,28.66,29.16,28.36,70.65,0,0.03,4.49,143.2,1007.29,0.12
BLOCK 1101,9/16/2020,23:00:00,28.39,28.83,28.12,71.72,0,0.01,4.79,141.38,1007.63,0.12
