Estación,Fecha,hora,Temperatura promedio,Temperatura máxima,Temperatura mínima,Humedad relativa,Precipitación,Radiación solar,Velocidad del viento,Dirección de viento,Presión barométrica,Evapotranspiración
"BLOCK 910 (CIANO)","2019-12-17","00:00:00","12.74","13.13","12.45","67.30","0.00","0.00","6.76","304.72","1005.61","0.08",
"BLOCK 910 (CIANO)","2019-12-17","01:00:00","11.84","12.44","11.13","69.48","0.00","0.00","6.44","311.36","1005.58","0.06",
"BLOCK 910 (CIANO)","2019-12-17","02:00:00","10.97","11.17","10.75","73.01","0.00","0.00","6.11","295.70","1005.51","0.05",
"BLOCK 910 (CIANO)","2019-12-17","03:00:00","10.70","11.05","10.49","72.61","0.00","0.00","6.78","300.56","1005.23","0.06",
"BLOCK 910 (CIANO)","2019-12-17","04:00:00","10.36","10.59","10.14","73.84","0.00","0.00","6.51","300.53","1004.97","0.05",
"BLOCK 910 (CIANO)","2019-12-17","05:00:00","9.80","10.30","9.44","74.94","0.00","0.00","6.54","289.56","1005.09","0.05",
"BLOCK 910 (CIANO)","2019-12-17","06:00:00","9.30","9.62","9.09","75.71","0.00","0.09","6.37","280.89","1005.44","0.03",
"BLOCK 910 (CIANO)","2019-12-17","07:00:00","9.79","10.57","9.34","72.94","0.00","48.54","6.81","292.83","1005.97","0.06",
"BLOCK 910 (CIANO)","2019-12-17","08:00:00","12.17","13.95","10.56","67.51","0.00","227.72","6.45","286.98","1006.68","0.13",
"BLOCK 910 (CIANO)","2019-12-17","09:00:00","16.60","19.84","13.93","56.69","0.00","407.77","7.74","317.32","1007.24","0.26",
"BLOCK 910 (CIANO)","2019-12-17","10:00:00","20.78","22.05","19.68","40.07","0.00","551.60","11.96","337.08","1007.54","0.45",
"BLOCK 910 (CIANO)","2019-12-17","11:00:00","22.71","23.89","21.64","34.17","0.00","644.95","12.72","339.20","1007.21","0.55",
"BLOCK 910 (CIANO)","2019-12-17","12:00:00","24.35","25.49","23.31","32.60","0.00","668.12","10.90","332.33","1006.13","0.59",
"BLOCK 910 (CIANO)","2019-12-17","13:00:00","25.36","26.12","24.72","31.83","0.00","639.20","11.79","318.66","1005.04","0.61",
"BLOCK 910 (CIANO)","2019-12-17","14:00:00","26.02","26.52","25.50","32.18","0.00","539.23","10.73","310.31","1004.29","0.58",
"BLOCK 910 (CIANO)","2019-12-17","15:00:00","25.71","26.22","25.13","32.08","0.00","389.40","11.40","295.60","1003.73","0.52",
"BLOCK 910 (CIANO)","2019-12-17","16:00:00","24.08","25.24","22.79","33.25","0.00","204.40","12.71","296.46","1003.51","0.43",
"BLOCK 910 (CIANO)","2019-12-17","17:00:00","20.90","22.80","18.89","41.91","0.00","32.99","9.59","289.42","1003.26","0.25",
"BLOCK 910 (CIANO)","2019-12-17","18:00:00","17.83","18.92","16.83","55.77","0.00","0.01","7.05","273.79","1003.24","0.12",
"BLOCK 910 (CIANO)","2019-12-17","19:00:00","16.49","16.85","15.98","61.52","0.00","0.00","8.45","293.54","1003.30","0.12",
"BLOCK 910 (CIANO)","2019-12-17","20:00:00","15.40","15.99","14.83","57.00","0.00","0.00","9.05","296.92","1003.35","0.16",
"BLOCK 910 (CIANO)","2019-12-17","21:00:00","14.22","14.88","13.75","59.34","0.00","0.00","8.96","297.39","1003.45","0.14",
"BLOCK 910 (CIANO)","2019-12-17","22:00:00","13.28","13.82","12.67","60.82","0.00","0.00","9.47","295.80","1003.51","0.13",
"BLOCK 910 (CIANO)","2019-12-17","23:00:00","12.23","12.76","11.79","62.24","0.00","0.00","9.13","295.67","1003.31","0.12",
"BLOCK 910 (CIANO)","2019-12-18","00:00:00","11.50","11.90","10.91","63.08","0.00","0.00","7.47","296.49","1003.28","0.09",
"BLOCK 910 (CIANO)","2019-12-18","01:00:00","10.76","11.17","10.30","64.77","0.00","0.00","6.05","312.07","1003.10","0.07",
"BLOCK 910 (CIANO)","2019-12-18","02:00:00","10.14","10.40","9.62","66.19","0.00","0.00","5.29","298.41","1003.15","0.06",
"BLOCK 910 (CIANO)","2019-12-18","03:00:00","9.62","9.78","9.42","66.30","0.00","0.00","4.16","300.10","1003.11","0.05",
"BLOCK 910 (CIANO)","2019-12-18","04:00:00","9.30","9.82","8.65","67.07","0.00","0.00","2.79","300.62","1002.83","0.03",
"BLOCK 910 (CIANO)","2019-12-18","05:00:00","8.36","8.67","7.90","71.94","0.00","0.00","5.43","261.99","1003.28","0.04",
"BLOCK 910 (CIANO)","2019-12-18","06:00:00","7.79","8.10","7.44","70.18","0.00","0.11","4.89","285.90","1003.94","0.03",
"BLOCK 910 (CIANO)","2019-12-18","07:00:00","8.19","9.52","7.22","67.29","0.00","51.70","4.35","306.21","1004.55","0.05",
"BLOCK 910 (CIANO)","2019-12-18","08:00:00","11.43","13.65","9.48","57.32","0.00","228.70","4.68","325.97","1004.94","0.14",
"BLOCK 910 (CIANO)","2019-12-18","09:00:00","16.99","19.54","13.69","46.80","0.00","411.27","9.02","2.20","1005.18","0.30",
"BLOCK 910 (CIANO)","2019-12-18","10:00:00","20.88","22.49","19.50","36.13","0.00","558.55","8.14","13.39","1005.07","0.45",
"BLOCK 910 (CIANO)","2019-12-18","11:00:00","23.29","24.26","22.11","31.55","0.00","646.27","6.66","307.02","1004.84","0.53",
"BLOCK 910 (CIANO)","2019-12-18","12:00:00","24.62","25.37","23.84","28.06","0.00","673.30","7.80","283.46","1004.33","0.59",
"BLOCK 910 (CIANO)","2019-12-18","13:00:00","25.25","25.87","24.77","26.94","0.00","637.43","8.25","292.25","1003.47","0.60",
"BLOCK 910 (CIANO)","2019-12-18","14:00:00","25.13","25.71","24.59","29.85","0.00","539.35","9.10","299.25","1002.93","0.55",
"BLOCK 910 (CIANO)","2019-12-18","15:00:00","24.98","25.36","24.54","30.64","0.00","365.02","8.51","300.64","1002.50","0.46",
"BLOCK 910 (CIANO)","2019-12-18","16:00:00","24.55","25.36","23.69","29.91","0.00","177.68","5.98","293.68","1002.22","0.32",
"BLOCK 910 (CIANO)","2019-12-18","17:00:00","21.28","23.67","19.27","39.01","0.00","14.12","5.53","270.48","1002.16","0.17",
"BLOCK 910 (CIANO)","2019-12-18","18:00:00","18.04","19.30","16.86","51.21","0.00","0.00","6.53","272.63","1002.44","0.14",
"BLOCK 910 (CIANO)","2019-12-18","19:00:00","16.39","16.93","15.66","61.53","0.00","0.00","4.71","288.62","1002.46","0.08",
"BLOCK 910 (CIANO)","2019-12-18","20:00:00","14.80","15.66","13.91","68.38","0.00","0.00","2.08","324.71","1002.67","0.05",
"BLOCK 910 (CIANO)","2019-12-18","21:00:00","14.32","14.64","13.93","76.87","0.00","0.00","2.97","290.14","1002.95","0.05",
"BLOCK 910 (CIANO)","2019-12-18","22:00:00","13.69","13.97","13.39","83.72","0.00","0.00","2.80","270.30","1002.75","0.03",
"BLOCK 910 (CIANO)","2019-12-18","23:00:00","13.29","13.45","13.11","88.33","0.00","0.00","3.40","259.34","1002.73","0.03",
"BLOCK 910 (CIANO)","2019-12-19","00:00:00","12.73","13.32","12.31","90.78","0.00","0.00","2.43","292.88","1002.63","0",
"BLOCK 910 (CIANO)","2019-12-19","01:00:00","11.87","12.34","11.33","92.67","0.00","0.00","1.50","302.82","1002.63","0",
