Estación,Fecha,hora,Temperatura promedio,Temperatura máxima,Temperatura mínima,Humedad relativa,Precipitación,Radiación solar,Velocidad del viento,Dirección de viento,Presión barométrica,Evapotranspiración
"BLOCK 1101","2017-09-15","15:00:00","34.36","35.22","33.41","51.05","0.00","563.48","22.86","211.81","1005.39","0.73",
"BLOCK 1101","2017-09-15","16:00:00","33.23","34.12","32.34","57.44","0.00","355.97","21.90","205.15","1005.28","0.56",
"BLOCK 1101","2017-09-15","17:00:00","32.25","33.04","31.58","60.84","0.00","148.58","17.58","208.26","1005.20","0.40",
"BLOCK 1101","2017-09-15","18:00:00","30.65","31.68","29.81","68.50","0.00","18.41","13.15","213.21","1005.18","0.23",
"BLOCK 1101","2017-09-15","19:00:00","29.46","29.83","29.19","76.27","0.00","0.07","5.00","202.09","1005.83","0.07",
"BLOCK 1101","2017-09-15","20:00:00","28.82","29.29","28.40","78.20","0.00","0.07","2.59","124.35","1006.85","0.07",
"BLOCK 1101","2017-09-15","21:00:00","28.41","28.68","28.21","79.88","0.00","0.11","5.28","148.75","1007.35","0.09",
"BLOCK 1101","2017-09-15","22:00:00","28.15","28.65","27.62","80.88","0.00","0.12","4.23","148.33","1007.59","0.08",
"BLOCK 1101","2017-09-15","23:00:00","27.66","27.94","27.01","81.87","0.00","0.11","5.08","146.51","1007.45","0.08",
"BLOCK 1101","2017-09-16","00:00:00","26.78","27.02","26.64","85.23","0.00","0.08","2.90","108.12","1007.13","0.01",
"BLOCK 1101","2017-09-16","01:00:00","26.57","26.74","26.41","86.32","0.00","0.04","3.03","89.30","1006.73","0.01",
"BLOCK 1101","2017-09-16","02:00:00","26.40","26.55","26.29","86.88","0.00","0.03","4.78","100.93","1006.49","0.02",
"BLOCK 1101","2017-09-16","03:00:00","26.27","26.48","26.04","87.27","0.00","0.05","6.27","110.40","1006.24","0.03",
"BLOCK 1101","2017-09-16","04:00:00","25.89","26.08","25.57","88.47","0.00","0.06","4.10","101.75","1006.31","0.01",
"BLOCK 1101","2017-09-16","05:00:00","25.35","25.60","25.18","88.67","0.00","0.12","3.77","95.35","1006.69","0.01",
"BLOCK 1101","2017-09-16","06:00:00","25.72","26.80","25.29","87.52","0.00","31.33","4.08","103.24","1007.12","0.03",
"BLOCK 1101","2017-09-16","07:00:00","28.35","29.60","26.78","78.45","0.00","231.55","6.62","107.80","1007.60","0.20",
"BLOCK 1101","2017-09-16","08:00:00","30.71","31.59","29.58","68.27","0.00","456.97","7.48","125.56","1008.11","0.39",
"BLOCK 1101","2017-09-16","09:00:00","32.54","33.55","31.44","58.11","0.00","651.70","9.48","143.63","1008.51","0.58",
"BLOCK 1101","2017-09-16","10:00:00","33.92","34.76","32.99","50.07","0.00","796.97","11.67","156.92","1008.35","0.75",
"BLOCK 1101","2017-09-16","11:00:00","35.07","35.98","33.78","45.53","0.00","891.17","13.84","171.62","1008.00","0.87",
"BLOCK 1101","2017-09-16","12:00:00","35.00","35.84","34.10","52.10","0.00","896.87","20.06","193.46","1007.35","0.84",
"BLOCK 1101","2017-09-16","13:00:00","34.86","35.71","34.26","50.85","0.00","845.83","22.12","194.15","1006.74","0.84",
"BLOCK 1101","2017-09-16","14:00:00","34.89","35.70","34.02","48.42","0.00","730.77","21.93","205.37","1006.13","0.82",
"BLOCK 1101","2017-09-16","15:00:00","34.44","35.31","33.74","51.28","0.00","560.67","22.12","211.43","1005.62","0.72",
"BLOCK 1101","2017-09-16","16:00:00","33.82","34.60","33.18","53.89","0.00","354.07","20.53","220.28","1005.33","0.59",
"BLOCK 1101","2017-09-16","17:00:00","32.63","33.40","31.95","57.27","0.00","146.42","16.98","222.08","1005.19","0.43",
"BLOCK 1101","2017-09-16","18:00:00","31.12","32.07","30.34","65.19","0.00","16.65","12.29","240.24","1005.47","0.25",
"BLOCK 1101","2017-09-16","19:00:00","29.74","30.36","29.16","71.08","0.00","0.06","6.05","220.74","1006.01","0.11",
"BLOCK 1101","2017-09-16","20:00:00","28.82","29.23","28.40","73.61","0.00","0.10","3.37","187.20","1006.65","0.09",
"BLOCK 1101","2017-09-16","21:00:00","28.17","28.53","27.82","75.16","0.00","0.12","2.99","141.94","1007.09","0.08",
"BLOCK 1101","2017-09-16","22:00:00","27.72","27.92","27.41","75.95","0.00","0.10","3.45","144.51","1007.33","0.08",
"BLOCK 1101","2017-09-16","23:00:00","27.43","27.86","26.92","77.42","0.00","0.06","5.41","150.37","1007.35","0.10",
"BLOCK 1101","2017-09-17","00:00:00","27.02","27.52","26.65","79.40","0.00","0.04","2.47","125.79","1007.14","0.01",
"BLOCK 1101","2017-09-17","01:00:00","26.65","26.84","26.45","81.18","0.00","0.03","3.14","145.60","1006.85","0.02",
"BLOCK 1101","2017-09-17","02:00:00","26.24","26.96","25.54","82.63","0.00","0.03","2.14","95.53","1006.62","0.00",
"BLOCK 1101","2017-09-17","03:00:00","25.50","25.61","25.29","85.62","0.00","0.07","4.07","47.53","1006.51","0.02",
"BLOCK 1101","2017-09-17","04:00:00","25.79","26.01","25.50","85.87","0.00","0.08","2.06","80.61","1006.77","0",
"BLOCK 1101","2017-09-17","05:00:00","25.79","26.05","25.56","86.67","0.00","0.11","2.36","107.51","1006.94","0",
"BLOCK 1101","2017-09-17","06:00:00","25.71","26.70","25.31","87.03","0.00","27.40","1.76","72.97","1007.34","0.01",
"BLOCK 1101","2017-09-17","07:00:00","28.85","30.36","26.70","78.48","0.00","218.80","2.64","62.26","1007.70","0.17",
"BLOCK 1101","2017-09-17","08:00:00","31.04","32.33","29.51","73.32","0.00","439.32","2.84","127.35","1008.32","0.34",
"BLOCK 1101","2017-09-17","09:00:00","32.97","34.42","32.06","61.41","0.00","641.73","3.22","151.32","1008.79","0.52",
"BLOCK 1101","2017-09-17","10:00:00","33.96","34.97","33.14","52.64","0.00","780.57","6.80","188.41","1008.75","0.69",
"BLOCK 1101","2017-09-17","11:00:00","35.42","36.38","34.52","46.15","0.00","866.50","9.40","188.40","1008.45","0.83",
"BLOCK 1101","2017-09-17","12:00:00","36.33","37.05","35.62","39.48","0.00","896.83","13.32","214.96","1007.94","0.96",
"BLOCK 1101","2017-09-17","13:00:00","36.76","37.57","36.07","38.02","0.00","838.67","13.79","229.79","1007.38","0.96",
"BLOCK 1101","2017-09-17","14:00:00","36.52","37.61","35.67","39.44","0.00","728.10","17.67","230.20","1006.85","0.93",
"BLOCK 1101","2017-09-17","15:00:00","36.00","37.05","35.02","43.35","0.00","546.73","21.36","233.94","1006.45","0.84",
"BLOCK 1101","2017-09-17","16:00:00","34.67","35.34","34.08","48.99","0.00","340.07","20.05","242.04","1006.25","0.65",
"BLOCK 1101","2017-09-17","17:00:00","33.65","34.31","32.93","53.06","0.00","136.81","17.10","252.62","1006.34","0.49",
"BLOCK 1101","2017-09-17","18:00:00","32.11","33.06","31.38","58.72","0.00","14.62","14.39","257.32","1006.64","0.33",
"BLOCK 1101","2017-09-17","19:00:00","30.95","31.39","30.46","63.97","0.00","0.06","8.53","253.86","1007.04","0.19",
"BLOCK 1101","2017-09-17","20:00:00","30.21","30.47","29.88","69.30","0.00","0.06","4.89","241.02","1007.64","0.14",
